Repository,Language,Files,Blank,Comment,Code
mohitmishra786/Competitive_Programming,C++,255,1331,3749,8342
mohitmishra786/Competitive_Programming,Markdown,35,165,0,321
mohitmishra786/Competitive_Programming,Python,7,69,36,300
mohitmishra786/Competitive_Programming,Text,2,0,0,3
mohitmishra786/Competitive_Programming,YAML,1,2,3,26
mohitmishra786/mohitmishra786,CSV,3,0,0,1051
mohitmishra786/mohitmishra786,JSON,1,0,0,10
mohitmishra786/mohitmishra786,Markdown,3,63,8,204
mohitmishra786/mohitmishra786,SVG,8,1,0,67
mohitmishra786/mohitmishra786,Text,1,0,0,1
mohitmishra786/mohitmishra786,YAML,5,81,45,435
mohitmishra786/cv-wiz,CSS,2,80,44,408
mohitmishra786/cv-wiz,Dockerfile,1,14,13,36
mohitmishra786/cv-wiz,HTML,1,12,11,125
mohitmishra786/cv-wiz,JSON,6,0,0,7321
mohitmishra786/cv-wiz,JavaScript,5,127,145,691
mohitmishra786/cv-wiz,Markdown,3,75,0,215
mohitmishra786/cv-wiz,Python,25,673,800,2484
mohitmishra786/cv-wiz,SVG,5,0,0,5
mohitmishra786/cv-wiz,Text,1,1,0,19
mohitmishra786/cv-wiz,TypeScript,41,758,354,5327
mohitmishra786/TheCoreDump,Bourne Shell,3,26,18,117
mohitmishra786/TheCoreDump,C,4,94,20,450
mohitmishra786/TheCoreDump,HTML,3,35,16,240
mohitmishra786/TheCoreDump,INI,1,4,0,15
mohitmishra786/TheCoreDump,JSON,5,0,0,101
mohitmishra786/TheCoreDump,JavaScript,1,11,6,101
mohitmishra786/TheCoreDump,Markdown,91,9935,14,26311
mohitmishra786/TheCoreDump,Ruby,1,4,2,8
mohitmishra786/TheCoreDump,YAML,6,58,126,264
mohitmishra786/vantage,Bourne Shell,2,187,163,556
mohitmishra786/vantage,CSS,1,41,13,303
mohitmishra786/vantage,Dockerfile,1,12,15,21
mohitmishra786/vantage,HTML,13,486,129,3421
mohitmishra786/vantage,JSON,4,0,0,4915
mohitmishra786/vantage,JavaScript,4,101,112,406
mohitmishra786/vantage,Markdown,4,148,0,407
mohitmishra786/vantage,Python,24,870,1229,3147
mohitmishra786/vantage,SVG,1,0,0,1
